site_name,lat,lon
CA-Ca1,49.8673,-125.3336
CA-Ca2,49.8705,-125.2909
CA-Cbo,44.3167,-79.9333
CA-Gro,48.2167,-82.1556
CA-Qfo,49.6925,-74.3421
CA-TP1,42.6609,-80.5595
CA-TP3,42.7068,-80.3483
CA-TPD,42.6353,-80.5577
MX-Tes,27.8446,-109.2977
US-Bar,44.0646,-71.2881
US-CS2,44.1467,-89.5002
US-Fmf,35.1426,-111.7273
US-Fuf,35.089,-111.762
US-GLE,41.3665,-106.2399
US-Ha1,42.5378,-72.1715
US-HB3,33.3482,-79.2322
US-Ho2,45.2091,-68.747
US-Me2,44.4526,-121.5589
US-Me3,44.3154,-121.6078
US-Me6,44.3233,-121.6078
US-MMS,39.3232,-86.4131
US-MOz,38.7441,-92.2
US-NC1,35.8118,-76.7119
US-NC3,35.799,-76.656
US-NR1,40.0329,-105.5464
US-Oho,41.5545,-83.8438
US-Syv,46.242,-89.3477
US-UMB,45.5598,-84.7138
US-UMd,45.5625,-84.6975
US-Vcm,35.8884,-106.5321
US-Vcp,35.8642,-106.5967
US-Wi4,46.7393,-91.1663
US-xAB,45.7624,-122.3303
US-xBL,39.0603,-78.0716
US-xBR,44.0639,-71.2873
US-xDL,32.5417,-87.8039
US-xGR,35.689,-83.5019
US-xHA,42.5369,-72.1727
US-xJE,31.1948,-84.4686
US-xML,37.3783,-80.5248
US-xRM,40.2759,-105.5459
US-xSB,29.6893,-81.9934
US-xSC,38.8929,-78.1395
US-xSE,38.8901,-76.56
US-xST,45.5089,-89.5864
US-xTA,32.9505,-87.3933
US-xTR,45.4937,-89.5857
US-xUK,39.0404,-95.1921
US-xUN,46.2339,-89.5373
US-xYE,44.9535,-110.5391
